                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.48069,                 0.3763,                0.96592,                0.85123,                  0.734,                0.86868,                0.71293,                0.82607,                0.63534,                 1.2145,               0.001156,               0.001156,               0.001156
                    136,                0.51578,                0.41722,                0.98001,                0.87377,                0.74364,                0.86857,                0.71541,                0.83737,                0.68197,                 1.2235,                0.00109,                0.00109,                0.00109
                    137,                 0.5492,                0.41432,                0.99719,                0.88516,                0.76958,                0.87262,                0.72409,                0.84055,                0.67142,                   1.23,               0.001024,               0.001024,               0.001024
                    138,                0.54063,                0.40334,                 1.0002,                0.90583,                0.80063,                0.87541,                0.71879,                 0.8334,                0.64313,                 1.2322,               0.000958,               0.000958,               0.000958
                    139,                 0.5278,                0.41532,                0.98958,                0.90037,                0.83129,                0.88669,                0.72804,                0.84115,                0.63755,                 1.2325,               0.000892,               0.000892,               0.000892
                    140,                0.48545,                0.38179,                0.97158,                0.90031,                0.83496,                0.88523,                 0.7229,                0.83672,                0.63887,                  1.224,               0.000826,               0.000826,               0.000826
                    141,                 0.5243,                0.40399,                 1.0011,                 0.8931,                0.84224,                0.88636,                0.73403,                 0.8278,                  0.643,                 1.2273,                0.00076,                0.00076,                0.00076
                    142,                0.50501,                 0.4193,                0.98497,                0.88427,                0.85505,                0.88921,                0.74053,                 0.8053,                 0.6139,                 1.2142,               0.000694,               0.000694,               0.000694
                    143,                 0.5156,                0.39866,                0.98934,                 0.8934,                0.85197,                0.89556,                0.74238,                0.81119,                0.58796,                 1.2212,               0.000628,               0.000628,               0.000628
                    144,                0.50217,                0.39094,                0.97452,                0.96842,                0.80911,                0.89776,                 0.7373,                0.81159,                0.55916,                 1.2139,               0.000562,               0.000562,               0.000562
                    145,                0.46921,                0.36838,                0.98011,                  0.967,                0.80793,                0.89887,                0.74057,                0.81835,                0.56472,                  1.219,               0.000496,               0.000496,               0.000496
                    146,                0.47835,                0.39012,                 0.9643,                0.92207,                0.81892,                0.87929,                0.72553,                0.82498,                0.57082,                 1.2128,                0.00043,                0.00043,                0.00043
                    147,                0.47256,                0.39047,                0.97115,                0.95599,                0.78681,                 0.8738,                0.72632,                0.82365,                0.58478,                 1.2112,               0.000364,               0.000364,               0.000364
                    148,                0.47117,                0.35896,                0.96291,                0.96238,                0.78612,                0.86905,                 0.7244,                0.82495,                0.59908,                 1.2154,               0.000298,               0.000298,               0.000298
                    149,                0.48992,                0.38426,                0.97073,                0.92827,                0.78062,                0.86644,                0.72136,                0.83633,                0.60718,                 1.2286,               0.000232,               0.000232,               0.000232
